month,year,lineName,station,feePassenger,freePassenegr,totalPassenger
201803,2018,9호선,증미,176163,43179,219342
201803,2018,9호선,흑석(중앙대입구),298888,53627,352515
201803,2018,9호선2단계,선정릉,192409,21126,213535
201803,2018,9호선2단계,봉은사,388544,39646,428190
201803,2018,9호선2단계,종합운동장,181898,16847,198745
201803,2018,9호선2단계,언주,224822,25138,249960
201803,2018,9호선2단계,삼성중앙,134013,22732,156745
201803,2018,경강선,이매,41555,9194,50749
201803,2018,경강선,곤지암,55971,11628,67599
201803,2018,경강선,경기광주,171492,24887,196379
201803,2018,경강선,여주,61475,15143,76618
201803,2018,경강선,신둔도예촌,35263,5936,41199
201803,2018,경강선,삼동,50810,8712,59522
201803,2018,경강선,부발,49456,6597,56053
201803,2018,경강선,세종대왕릉,5591,2984,8575
201803,2018,경강선,판교,91058,10707,101765
201803,2018,경강선,초월,63647,10825,74472
201803,2018,경강선,이천,66917,12519,79436
201803,2018,경부선,서정리,161396,26856,188252
201803,2018,경부선,의왕,249492,43493,292985
201803,2018,경부선,성균관대,493321,58068,551389
201803,2018,경부선,성환,164940,22458,187398
201803,2018,경부선,세류,110190,19859,130049
201803,2018,경부선,세마,75323,14472,89795
201803,2018,경부선,군포,198061,36282,234343
201803,2018,경부선,송탄,144680,26450,171130
201803,2018,경부선,수원,1399240,159209,1558449
201803,2018,경부선,신길,273717,49743,323460
201803,2018,경부선,명학,293239,46180,339419
201803,2018,경부선,병점,493641,62974,556615
201803,2018,경부선,금정,768722,114814,883536
201803,2018,경부선,금천구청,294167,81057,375224
201803,2018,경부선,서동탄,41925,9574,51499
201803,2018,경부선,신도림,96296,24248,120544
201803,2018,경부선,남영,324027,42002,366029
201803,2018,경부선,안양,831316,123121,954437
201803,2018,경부선,노량진,404646,52914,457560
201803,2018,경부선,영등포,1253847,300116,1553963
201803,2018,경부선,오산,304432,45308,349740
201803,2018,경부선,오산대,103994,14096,118090
201803,2018,경부선,용산,1131697,138352,1270049
201803,2018,경부선,가산디지털단지,447780,32262,480042
201803,2018,경부선,당정,215138,31058,246196
201803,2018,경부선,대방,402900,77114,480014
201803,2018,경부선,독산,448870,70025,518895
201803,2018,경부선,두정,207514,24358,231872
201803,2018,경부선,화서,227043,45458,272501
201803,2018,경부선,평택,419031,72945,491976
201803,2018,경부선,구로,564779,102500,667279
201803,2018,경부선,광명,60609,5168,65777
201803,2018,경부선,천안,225518,62067,287585
201803,2018,경부선,진위,47500,8378,55878
201803,2018,경부선,직산,24141,6344,30485
201803,2018,일산선,화정,489304,137398,626702
201803,2018,일산선,대화,392149,98105,490254
201803,2018,일산선,대곡,41135,11198,52333
201803,2018,일산선,주엽,209435,100260,309695
201803,2018,일산선,정발산,216210,59985,276195
201803,2018,일산선,원흥,216442,45243,261685
201803,2018,일산선,원당,299489,91124,390613
201803,2018,일산선,삼송,421770,89857,511627
201803,2018,일산선,백석,291277,82918,374195
201803,2018,장항선,쌍용(나사렛대),77055,17009,94064
201803,2018,장항선,신창(순천향대),82734,8401,91135
201803,2018,장항선,온양온천,98339,67706,166045
201803,2018,장항선,봉명,30679,14511,45190
201803,2018,장항선,아산,100505,10855,111360
201803,2018,장항선,배방,26415,8070,34485
201803,2018,중앙선,덕소,152670,52622,205292
